symbol,day,labels,event_count
ZEREBROUSDT,2025-06-18,core_trade,1
GPSUSDT,2025-06-20,core_trade,1
MYXUSDT,2025-06-23,core_trade,1
HUSDT,2025-06-27,core_trade,1
SQDUSDT,2025-06-29,core_trade,1
MYXUSDT,2025-07-01,core_trade,1
PORTALUSDT,2025-07-01,core_trade,1
HUSDT,2025-07-02,core_trade,1
HUSDT,2025-07-03,core_trade,1
SWARMSUSDT,2025-07-03,core_trade,1
SOONUSDT,2025-07-05,core_trade,1
MYXUSDT,2025-07-06,core_trade,1
MYXUSDT,2025-07-08,core_trade,1
AGTUSDT,2025-07-09,core_trade,1
MUSDT,2025-07-09,core_trade,1
MUSDT,2025-07-10,core_trade,1
ZEREBROUSDT,2025-07-10,core_trade,1
BANANAS31USDT,2025-07-11,core_trade,1
HYPERUSDT,2025-07-11,core_trade,1
MUSDT,2025-07-11,core_trade,1
PORTALUSDT,2025-07-11,core_trade,1
REZUSDT,2025-07-11,core_trade,1
AIOTUSDT,2025-07-12,core_trade,1
HUSDT,2025-07-12,core_trade,1
MUSDT,2025-07-12,core_trade,1
BANANAS31USDT,2025-07-13,core_trade,1
AGTUSDT,2025-07-14,core_trade,1
ORCAUSDT,2025-07-14,core_trade,1
AIOTUSDT,2025-07-15,core_trade,1
MUSDT,2025-07-15,core_trade,1
EPICUSDT,2025-07-19,core_trade,1
FHEUSDT,2025-07-20,core_trade,1
ENAUSDT,2025-07-21,core_trade,1
BANANAUSDT,2025-07-22,core_trade,1
HOMEUSDT,2025-07-22,core_trade,1
SPKUSDT,2025-07-22,core_trade,1
PIPPINUSDT,2025-07-23,core_trade,1
SAHARAUSDT,2025-07-23,core_trade,1
AIOTUSDT,2025-07-24,core_trade,1
INITUSDT,2025-07-24,core_trade,1
SAHARAUSDT,2025-07-24,core_trade,1
SPKUSDT,2025-07-24,core_trade,1
AIOTUSDT,2025-07-25,core_trade,1
HYPERUSDT,2025-07-25,core_trade,1
SAHARAUSDT,2025-07-25,core_trade,1
SPKUSDT,2025-07-25,core_trade,1
KERNELUSDT,2025-07-26,core_trade,1
CFXUSDT,2025-07-29,core_trade,1
AGTUSDT,2025-08-02,core_trade,1
MUSDT,2025-08-02,core_trade,1
MYXUSDT,2025-08-03,core_trade,1
ESPORTSUSDT,2025-08-04,core_trade,1
MYXUSDT,2025-08-04,core_trade,1
AGTUSDT,2025-08-05,core_trade,1
ESPORTSUSDT,2025-08-05,core_trade,1
MYXUSDT,2025-08-05,core_trade,1
MYXUSDT,2025-08-06,core_trade,1
BIOUSDT,2025-08-07,core_trade,1
MYXUSDT,2025-08-07,core_trade,1
MYXUSDT,2025-08-08,core_trade,1
SIRENUSDT,2025-08-08,core_trade,1
SIRENUSDT,2025-08-10,core_trade,1
SOONUSDT,2025-08-10,core_trade,1
PLAYUSDT,2025-08-11,core_trade,1
SOONUSDT,2025-08-11,core_trade,1
MYXUSDT,2025-08-14,core_trade,1
AIOUSDT,2025-08-15,core_trade,1
AIOUSDT,2025-08-16,core_trade,1
TSTUSDT,2025-08-16,core_trade,1
BIOUSDT,2025-08-18,core_trade,1
AIOTUSDT,2025-08-19,core_trade,1
MUSDT,2025-08-19,core_trade,1
MYXUSDT,2025-08-19,core_trade,1
BIOUSDT,2025-08-22,core_trade,1
FHEUSDT,2025-08-23,core_trade,1
JELLYJELLYUSDT,2025-08-29,core_trade,1
MITOUSDT,2025-08-29,core_trade,1
XPLUSDT,2025-08-29,core_trade,1
ESPORTSUSDT,2025-08-30,core_trade,1
MUSDT,2025-09-01,core_trade,1
WLFIUSDT,2025-09-01,core_trade,1
XPLUSDT,2025-09-01,core_trade,1
XPLUSDT,2025-09-02,core_trade,1
PIPPINUSDT,2025-09-06,core_trade,1
GPSUSDT,2025-09-07,core_trade,1
MYXUSDT,2025-09-07,core_trade,1
GPSUSDT,2025-09-08,core_trade,1
HUSDT,2025-09-08,core_trade,1
MYXUSDT,2025-09-08,core_trade,1
